id,name,name,diagonal,type,filename
75,Canon,"Canon DIGITAL IXUS i zoom",7.19200260589179,0,CanonDIGITAL_IXUSiZoom
76,Canon,"Canon DIGITAL IXUS v",6.64003027265611,0,CanonDIGITAL_IXUSv
77,Canon,"Canon DIGITAL IXUS v2",6.64003027265611,0,CanonDIGITAL_IXUSv2
78,Canon,"Canon DIGITAL IXUS v3",6.64003027265611,0,CanonDIGITAL_IXUSv3
79,Canon,"Canon ELURA100",3.64005504943805,2,CanonELURA100
80,Canon,"Canon ELURA40 MC",3.00000004768372,2,CanonELURA40MC
81,Canon,"Canon ELURA50",3.00000004768372,2,CanonELURA50
82,Canon,"Canon ELURA60        ",4.00000009536743,2,CanonELURA60
83,Canon,"Canon ELURA65        ",4.00000009536743,2,CanonELURA65
84,Canon,"Canon ELURA70        ",4.00000009536743,2,CanonELURA70
85,Canon,"Canon ELURA80        ",4.00000009536743,2,CanonELURA80
86,Canon,"Canon ELURA85        ",4.00000009536743,2,CanonELURA85
87,Canon,"Canon ELURA90        ",4.00000009536743,2,CanonELURA90
88,Canon,"Canon EOS-1D",34.4746291983666,0,CanonEOS-1D
89,Canon,"Canon EOS-1DS",42.989299936817,0,CanonEOS-1DS
90,Canon,"Canon EOS-1Ds Mark II",43.2666153055679,0,CanonEOS-1DSmkII
91,Canon,"Canon EOS-1D C",43.2666153055679,0,CanonEOS-1D_C
92,Canon,"Canon EOS-1D Mark III",34.2546357786309,0,CanonEOS-1D_MarkIII
93,Canon,"Canon EOS-1D Mark II N",34.4746291983666,0,CanonEOS-1D_MarkII_N
94,Canon,"Canon EOS-1D Mark IV",33.5316267560144,0,CanonEOS-1D_MarkIV
95,Canon,"Canon EOS-1D X",43.2666153055679,0,CanonEOS-1D_X
96,Canon,"Canon EOS-1D X Mark II",43.1279502332751,0,CanonEOS-1D_XMarkII
97,Canon,"Canon EOS-1D Mark II",34.4746291983666,0,CanonEOS-1DmkII
98,Canon,"Canon EOS-1Ds Mark III",34.2546357786309,0,CanonEOS-1DsMarkIII
99,Canon,"Canon EOS 1000D",26.6810801790382,0,CanonEOS1000D
100,Canon,"Canon EOS 100D",26.8197679819402,0,CanonEOS100D
101,Canon,"Canon EOS 10D",27.2635295983084,0,CanonEOS10D
102,Canon,"Canon EOS 1100D",26.6257399571713,0,CanonEOS1100D
103,Canon,"Canon EOS 1200D",26.8197679819402,0,CanonEOS1200D
104,Canon,"Canon EOS 1300D",26.8197679819402,0,CanonEOS1300D
105,Canon,"Canon EOS 20D",27.0416345659799,0,CanonEOS20D
106,Canon,"Canon EOS 300D DIGITAL",27.2635295983084,0,CanonEOS300D
107,Canon,"Canon EOS 30D",27.0416345659799,0,CanonEOS30D
108,Canon,"Canon EOS 350D DIGITAL",26.6810801790382,0,CanonEOS350D
109,Canon,"Canon EOS 400D DIGITAL",26.6810801790382,0,CanonEOS400D
110,Canon,"Canon EOS 40D",26.6810801790382,0,CanonEOS40D
111,Canon,"Canon EOS 450D",26.6810801790382,0,CanonEOS450D
112,Canon,"Canon EOS 500D",26.8197679819402,0,CanonEOS500D
113,Canon,"Canon EOS 50D",26.8197679819402,0,CanonEOS50D
114,Canon,"Canon EOS 550D",26.8197679819402,0,CanonEOS550D
115,Canon,"Canon EOS 5D",42.989299936817,0,CanonEOS5D
116,Canon,"Canon EOS 5DS",43.2666153055679,0,CanonEOS5DS
117,Canon,"Canon EOS 5DS R",43.2666153055679,0,CanonEOS5DS_R
118,Canon,"Canon EOS 5D Mark II",43.2666153055679,0,CanonEOS5D_MarkII
119,Canon,"Canon EOS 5D Mark III",43.2666153055679,0,CanonEOS5D_MarkIII
120,Canon,"Canon EOS 600D",26.8197679819402,0,CanonEOS600D
121,Canon,"Canon EOS 60D",26.8197679819402,0,CanonEOS60D
122,Canon,"Canon EOS 650D",26.8197679819402,0,CanonEOS650D
123,Canon,"Canon EOS 6D",43.1279502332751,0,CanonEOS6D
124,Canon,"Canon EOS 700D",26.8197679819402,0,CanonEOS700D
125,Canon,"Canon EOS 70D",27.0416345659799,0,CanonEOS70D
126,Canon,"Canon EOS 750D",26.8197679819402,0,CanonEOS750D
127,Canon,"Canon EOS 760D",26.8197679819402,0,CanonEOS760D
128,Canon,"Canon EOS 7D",26.8197679819402,0,CanonEOS7D
129,Canon,"Canon EOS 7D Mark II",26.9584862874412,0,CanonEOS7D_MarkII
130,Canon,"Canon EOS 8000D",26.8197679819402,0,CanonEOS8000D
131,Canon,"Canon EOS 80D",26.8197679819402,0,CanonEOS80D
132,Kodak,"Kodak DCS520C",27.5697291464744,0,CanonEOS_D2000
133,Canon,"Canon EOS D30",27.2635295983084,0,CanonEOS_D30
134,Canon,"Canon EOS D60",27.2635295983084,0,CanonEOS_D60
135,Canon,"Canon EOS DIGITAL REBEL",27.2635295983084,0,CanonEOS_DIGITAL_REBEL
136,Canon,"Canon EOS DIGITAL REBEL XS",26.6810801790382,0,CanonEOS_DIGITAL_REBEL_XS
137,Canon,"Canon EOS DIGITAL REBEL XSi",26.6810801790382,0,CanonEOS_DIGITAL_REBEL_XSi
138,Canon,"Canon EOS DIGITAL REBEL XT",26.6810801790382,0,CanonEOS_DIGITAL_REBEL_XT
139,Canon,"Canon EOS DIGITAL REBEL XTi",26.6810801790382,0,CanonEOS_DIGITAL_REBEL_XTi
140,Canon,"Canon EOS K236",26.6810801790382,0,CanonEOS_K236
141,Canon,"Canon EOS Kiss Digital",27.2635295983084,0,CanonEOS_KissDigital
142,Canon,"Canon EOS Kiss Digital N",26.6810801790382,0,CanonEOS_KissDigitalN
143,Canon,"Canon EOS Kiss Digital X",26.6810801790382,0,CanonEOS_KissDigitalX
144,Canon,"Canon EOS Kiss F",26.6810801790382,0,CanonEOS_KissF
145,Canon,"Canon EOS Kiss X2",26.6810801790382,0,CanonEOS_KissX2
146,Canon,"Canon EOS Kiss X3",26.8197679819402,0,CanonEOS_KissX3
147,Canon,"Canon EOS Kiss X4",26.8197679819402,0,CanonEOS_KissX4
148,Canon,"Canon EOS Kiss X5",26.8197679819402,0,CanonEOS_KissX5
149,Canon,"Canon EOS Kiss X50",26.4592137901411,0,CanonEOS_KissX50
150,Canon,"Canon EOS Kiss X6i",26.8197679819402,0,CanonEOS_KissX6i
